Country,Neighbourhood,Government,Scientist,Journalist,Doctor and Nurses,Philantropist,Traditional Healers
Albania,0.5072,0.4357,0.4919,0.5349,0.6903,0.5468,0.4243
Algeria,0.6730,0.6498,0.8442,0.4431,0.8113,0.6835,0.7409
Argentina,0.7587,0.4352,0.8937,0.5281,0.9246,0.7140,0.1394
Australia,0.9221,0.7449,0.9385,0.7131,0.9809,0.8726,0.5733
Austria,0.8844,0.7387,0.9568,0.7535,0.9699,0.8212,0.6115
Bahrain,0.6429,0.0000,0.7110,0.5147,0.8239,0.7051,0.6027
Bangladesh,0.8678,0.8839,0.8731,0.7172,0.8887,0.7547,0.1465
Belgium,0.9028,0.5938,0.9809,0.7772,0.9870,0.8073,0.6002
Benin,0.2299,0.6112,0.4336,0.4164,0.5929,0.4243,0.3344
Bolivia,0.5768,0.4200,0.5867,0.4827,0.6771,0.5340,0.3462
Bosnia Herzegovina,0.7927,0.2464,0.7615,0.4619,0.8054,0.7048,0.3034
Brazil,0.5358,0.4298,0.7973,0.5636,0.8487,0.6522,0.2695
Bulgaria,0.7573,0.3935,0.8788,0.5411,0.8611,0.6101,0.4447
Burkina Faso,0.5594,0.5223,0.6325,0.6537,0.7370,0.5096,0.5432
Cambodia,0.7551,0.9270,0.8231,0.8047,0.9206,0.8904,0.5572
Cameroon,0.3371,0.3028,0.3897,0.4194,0.4599,0.3826,0.2793
Canada,0.8983,0.7649,0.9345,0.7681,0.9662,0.8598,0.6396
Chile,0.6951,0.3076,0.8234,0.4297,0.8683,0.6721,0.1387
China,0.8808,0.0000,0.9657,0.7462,0.9086,0.7324,0.9247
Colombia,0.6187,0.4105,0.7503,0.4817,0.8194,0.5461,0.2329
Congo Brazzaville,0.3963,0.5608,0.4562,0.4984,0.5354,0.5394,0.4088
Costa Rica,0.6460,0.4633,0.8171,0.5762,0.8843,0.7278,0.1935
Croatia,0.8448,0.4340,0.9131,0.5335,0.9536,0.7461,0.3052
Cyprus,0.8388,0.4985,0.8250,0.5395,0.8708,0.7619,0.5903
Czech Republic,0.8830,0.4644,0.9710,0.5614,0.9748,0.8430,0.5152
Denmark,0.9520,0.8456,0.9787,0.7364,0.9800,0.8874,0.5938
Dominican Republic,0.6945,0.7464,0.6842,0.6640,0.8730,0.6285,0.0854
Ecuador,0.5389,0.2748,0.5720,0.4416,0.6921,0.4687,0.1389
