COUNTRY,ID,Neighbourhood,Government,Scientist,Journalist,Doctor and Nurses,Philantropist,Traditional Healers
United States,178216898,2,4,2,4,2,2,2
United States,159107018,4,2,1,2,1,2,2
United States,203166417,2,3,1,1,1,3,4
United States,201061719,2,4,1,2,2,2,2
United States,195404162,4,4,1,1,1,2,1
United States,206175166,2,2,1,4,1,2,3
United States,143453061,4,4,4,3,4,4,4
United States,151219829,2,3,1,4,1,2,2
United States,116175782,3,4,1,1,1,2,4
United States,206593643,2,2,1,4,1,2,2
United States,149480464,2,1,1,4,2,2,1
United States,129505527,2,2,2,4,1,2,4
United States,196162890,2,4,1,2,1,2,2
United States,158642042,1,1,1,2,1,1,99
United States,117467220,2,4,1,2,2,2,2
United States,198691056,2,2,2,4,2,2,2
United States,181724056,1,2,2,4,2,2,3
United States,147591827,2,4,1,1,2,1,2
United States,185508867,2,2,3,4,2,3,3
United States,134679547,2,3,1,1,1,2,2
United States,171515415,1,3,2,4,1,4,3
United States,194406035,1,1,1,1,2,1,3
United States,123162418,1,2,2,3,1,3,1
United States,139138656,4,3,2,2,1,2,2
United States,116920967,1,2,2,2,1,2,2
United States,182115659,2,4,1,1,1,2,2
United States,123167458,1,3,1,4,1,1,99
United States,202700197,2,3,1,2,1,2,2
United States,162107056,1,1,1,3,1,1,2
United States,159792401,1,2,2,3,1,2,1
United States,172604099,1,3,1,3,1,1,99
United States,163666300,2,2,2,3,1,2,3
United States,132147094,2,2,1,1,1,2,1
United States,171998358,2,2,2,3,2,2,2
United States,127896415,1,4,1,2,1,2,2
United States,181761942,1,1,1,2,1,1,2
United States,152020561,2,3,1,1,1,1,2
United States,194222511,1,2,1,1,1,2,4
United States,160813812,2,3,1,1,1,1,2
United States,202119021,2,3,2,2,2,2,2
United States,148939057,1,2,1,3,1,1,2
United States,187986799,3,1,2,2,1,3,1
United States,111509059,99,2,2,3,1,2,3
United States,175888225,2,3,1,1,1,3,4
United States,166036530,1,2,1,2,1,1,2
United States,198591132,2,1,1,4,1,1,1
United States,142640131,2,4,1,1,1,1,3
United States,200858095,99,4,1,1,2,2,2
United States,204663214,1,4,1,1,1,2,4
United States,198046782,2,2,3,4,2,3,2
United States,157067106,1,4,1,2,1,1,3
United States,177237631,2,3,1,1,1,1,2
United States,207632024,1,3,1,1,1,1,2
United States,197573171,1,3,1,3,1,3,3
United States,163413364,3,4,2,4,2,3,2
United States,189233373,2,3,1,3,3,1,1
United States,175246324,2,2,2,2,1,1,1
United States,163787017,1,1,1,4,1,1,2
United States,194783433,2,3,1,2,1,2,3
United States,139519653,2,3,2,1,1,2,2
United States,152088448,1,2,2,3,1,2,3
United States,182046623,2,3,2,2,2,2,2
United States,187526144,1,3,1,1,2,2,3
United States,185930861,2,3,2,3,1,2,3
United States,113697883,1,2,1,3,1,2,4
United States,167300370,2,4,1,1,1,1,2
United States,202921893,1,2,1,4,1,1,4
United States,173732874,1,1,1,1,1,1,1
United States,135025619,3,1,1,3,1,3,1
United States,149244976,1,1,1,1,1,1,2
United States,129600395,1,2,2,3,1,1,99
United States,120187927,3,2,2,3,1,2,2
United States,164376251,1,3,1,1,2,1,3
United States,131933919,1,1,1,1,1,1,3
United States,130394483,1,2,1,1,1,1,1
United States,162915518,1,4,1,1,1,2,4
United States,144399238,2,2,2,4,1,2,1
United States,160222463,2,4,2,4,2,2,2
United States,132923471,1,2,1,3,1,2,2
United States,144473831,1,3,1,1,1,1,1
United States,155882429,2,3,1,2,1,2,4
United States,138722312,2,2,1,2,1,1,2
United States,172744682,1,1,1,1,1,1,1
United States,153668255,2,4,1,1,1,2,3
United States,188760405,2,3,1,2,1,1,3
United States,189358644,2,2,2,2,2,99,99
United States,138667966,1,2,3,4,3,2,2
United States,152575960,3,3,1,2,2,2,2
United States,159743155,1,4,1,2,1,1,99
United States,177688288,2,2,1,2,1,1,2
United States,159174520,1,2,2,2,2,99,99
United States,154393032,2,99,99,2,1,99,3
United States,122903455,1,3,1,2,1,2,3
United States,156726723,3,2,1,1,2,2,3
United States,181556368,1,2,2,2,1,2,2
United States,133678237,1,2,1,2,99,1,4
United States,114547814,1,3,1,1,1,1,3
United States,162391427,2,2,2,2,2,2,2
United States,157278194,1,1,1,4,1,3,4
United States,116808601,1,2,3,4,2,1,3
United States,125255909,1,2,1,3,1,1,2
United States,202844460,1,3,1,1,1,1,2
United States,135407951,1,2,1,2,1,1,3
United States,179347870,1,4,1,2,1,2,3
United States,171917592,2,1,1,1,1,1,99
United States,113563133,2,2,1,1,2,1,2
United States,168884025,1,4,1,2,1,2,2
United States,201383055,2,4,2,2,2,2,4
United States,149333206,1,3,1,3,1,1,3
United States,181130619,2,3,1,1,2,1,2
United States,150484384,1,2,1,1,1,1,2
United States,168120663,1,2,1,1,1,1,4
United States,185789799,3,3,1,1,1,2,3
United States,132413172,2,1,2,4,1,2,4
United States,198350186,1,2,1,2,1,2,3
United States,161456830,2,4,1,2,1,2,3
United States,124077280,2,3,1,3,2,2,2
United States,199669413,1,2,2,3,1,2,3
United States,163346570,2,3,99,3,2,2,99
United States,148227485,1,1,1,99,1,99,1
United States,157066742,2,3,1,1,1,1,3
United States,209236844,1,3,1,1,1,2,3
United States,176587852,2,3,1,2,1,1,3
United States,187900449,2,2,1,2,1,2,4
United States,121870268,1,2,1,3,1,1,2
United States,127431100,99,99,1,99,1,99,99
United States,122001701,1,1,1,2,1,1,2
United States,202053975,2,2,1,2,1,1,2
United States,159819100,3,3,3,3,4,3,2
United States,187364837,1,2,2,2,1,3,3
United States,141700105,1,1,1,2,2,2,2
United States,174031894,1,4,1,1,1,1,2
United States,131326909,1,2,2,4,1,2,1
United States,136872836,2,3,1,2,1,2,2
United States,182462144,1,1,2,4,1,2,4
United States,120406817,2,3,2,3,2,2,3
United States,169830651,2,3,1,2,1,2,2
United States,160199640,1,2,1,3,1,2,2
United States,118470769,2,4,1,2,2,2,2
United States,189329028,3,2,1,2,1,2,3
United States,197694882,1,2,1,2,1,1,2
United States,179873497,2,2,1,2,1,2,2
United States,179763673,1,2,1,3,1,1,1
United States,198142440,1,3,1,1,1,1,2
United States,161173807,2,2,2,2,2,1,2
United States,134086755,1,4,1,2,1,2,1
United States,201601102,1,2,1,2,1,1,4
United States,167532225,1,2,1,2,1,3,2
United States,127021861,1,3,99,4,1,3,2
United States,116113745,2,4,1,4,2,99,2
United States,205514819,1,4,1,2,1,1,3
United States,134977362,1,3,1,2,1,2,3
United States,136075881,4,2,2,4,2,3,2
United States,147311836,2,2,1,1,1,1,2
United States,137536247,1,2,1,2,1,2,4
United States,177326178,2,3,2,2,2,2,3
United States,120992941,1,1,1,1,1,1,3
United States,121173485,2,2,2,99,1,2,2
United States,129628610,2,3,1,2,2,2,2
United States,118074873,1,2,3,4,2,2,2
United States,132445328,4,3,2,2,1,4,4
United States,174840773,1,2,2,2,1,2,2
United States,165868599,3,2,2,4,3,2,3
United States,190477400,1,2,2,4,1,1,4
United States,159503592,2,2,1,2,1,1,1
United States,201421940,2,4,1,2,1,1,4
United States,145118103,2,4,2,3,1,2,2
United States,198404368,2,2,1,2,1,2,3
United States,181287505,1,4,1,1,1,1,2
United States,119029246,1,4,1,2,1,1,3
United States,141586444,1,2,1,1,1,1,3
United States,191654697,1,2,2,4,1,2,1
United States,192957289,2,2,1,4,1,2,2
United States,161940295,2,2,2,3,2,2,2
United States,139227055,2,4,1,1,1,2,3
United States,155502005,1,1,1,1,1,1,2
United States,125658113,99,3,1,2,1,2,2
United States,159296712,2,4,2,4,2,2,3
United States,168261119,1,4,1,1,1,2,2
United States,184848640,2,2,1,2,1,1,1
United States,186457883,1,4,2,2,2,2,2
United States,174945584,1,1,1,4,1,1,2
United States,152994221,2,4,1,2,1,2,2
United States,138201826,1,4,2,2,2,99,2
United States,125195547,2,2,1,2,1,2,3
United States,185609549,2,2,2,4,1,3,2
United States,197556007,2,3,2,3,2,2,2
United States,140822914,3,3,1,2,1,2,2
United States,202960166,3,4,1,2,2,1,2
United States,155223407,99,4,1,4,2,1,4
United States,127747351,1,2,1,1,1,2,3
United States,120662825,2,2,4,2,2,2,2
United States,159168550,1,3,1,1,1,1,3
United States,167332022,1,3,1,1,1,1,2
United States,133644479,1,3,1,1,1,1,2
United States,191268601,2,2,1,1,2,2,3
United States,129074005,2,3,2,2,1,2,3
United States,144733096,1,2,1,2,1,2,2
United States,118699434,1,3,1,1,2,1,2
United States,172193582,4,4,2,3,3,2,3
United States,157921698,2,4,1,3,1,2,2
United States,184359362,3,2,1,2,1,1,1
United States,199847746,1,3,1,1,1,2,2
United States,190032409,1,3,1,1,1,1,3
United States,141956820,2,3,2,3,2,2,2
United States,210871273,1,4,1,4,1,3,3
United States,190127163,1,4,1,4,1,2,4
United States,203041042,99,4,1,2,1,2,4
United States,121884233,2,3,1,2,1,1,3
United States,195186390,3,2,1,2,1,3,3
United States,136822833,1,3,1,1,1,1,4
United States,189706486,1,1,1,2,1,1,1
United States,129043262,3,2,3,4,2,2,1
United States,150894393,2,2,2,2,1,2,1
United States,186466440,2,4,2,2,2,2,2
United States,128912363,2,3,1,1,1,2,3
United States,131413592,3,3,2,2,2,2,3
United States,172896911,2,3,3,1,1,2,99
United States,172694075,1,2,2,3,2,2,3
United States,200170360,2,2,2,3,2,2,3
United States,127161576,2,4,2,4,2,99,2
United States,151164289,1,2,1,3,1,2,1
United States,168818483,1,2,3,3,1,3,2
United States,203541058,1,1,2,2,2,1,2
United States,189281400,99,3,1,2,1,2,3
United States,138883146,2,4,1,2,1,2,3
United States,206592017,1,3,2,3,1,2,2
United States,131223589,2,4,3,4,3,3,4
United States,167776265,1,2,1,3,1,2,2
United States,152617074,1,2,2,2,1,2,3
United States,151385801,2,4,1,2,1,1,1
United States,192186621,1,4,1,2,2,1,2
United States,131994581,1,2,1,3,1,2,2
United States,185160139,2,3,1,1,2,1,2
United States,163799390,3,3,1,1,1,3,3
United States,159473455,1,2,2,4,1,1,4
United States,186276240,99,2,2,2,2,2,2
United States,124310320,2,4,1,2,1,2,4
United States,118827793,2,3,1,2,1,2,3
United States,201711439,1,2,2,2,1,2,3
United States,185245485,1,2,1,1,1,2,2
United States,161663947,1,1,1,2,1,1,99
United States,210380102,2,2,2,4,2,3,3
United States,114723429,99,2,1,99,2,2,2
United States,121034124,1,2,1,2,1,1,3
United States,155342284,1,2,2,4,2,1,4
United States,149456543,2,3,1,2,1,1,3
United States,126123868,1,2,1,1,1,1,2
United States,166241331,1,3,2,3,2,2,2
United States,169613953,2,4,1,2,1,2,99
United States,175961434,2,3,1,2,1,2,1
United States,133286734,2,1,2,3,1,2,2
United States,149205899,2,2,1,2,1,1,2
United States,133535535,1,4,1,1,1,2,4
United States,203779246,1,4,1,2,1,1,99
United States,134647025,1,3,1,2,1,2,1
United States,116238656,3,3,1,3,2,2,3
United States,149180271,2,1,1,2,1,2,1
United States,133546799,1,2,3,4,1,2,2
United States,168008401,2,3,1,2,1,1,3
United States,167251875,3,4,1,2,1,99,1
United States,200228943,1,4,1,2,1,1,2
United States,165787886,2,4,1,1,1,4,1
United States,162663320,1,1,1,2,1,1,1
United States,170560848,1,4,1,99,1,1,4
United States,168935550,2,2,1,3,1,2,3
United States,117624594,2,3,1,1,2,2,3
United States,162561988,1,2,1,2,2,2,3
United States,191771389,2,2,2,3,1,2,3
United States,159048676,2,2,1,2,1,2,3
United States,175024045,1,3,2,3,2,2,3
United States,162455819,1,2,2,2,2,2,2
United States,112808189,3,4,3,4,3,3,2
United States,189663166,1,2,2,4,2,2,2
United States,140274661,1,2,1,2,1,1,1
United States,132898997,1,2,1,1,1,1,2
United States,186210564,1,3,1,2,1,1,1
United States,132039265,1,2,1,1,1,1,99
United States,200919328,1,4,4,4,3,2,2
United States,117740085,2,3,1,1,1,2,2
United States,178209527,2,2,1,1,1,1,1
United States,165687247,2,2,2,3,1,2,3
United States,164499604,2,2,1,3,2,2,2
United States,111176093,2,2,1,2,2,2,2
United States,191349124,1,2,2,4,2,3,99
United States,166638764,2,4,4,4,1,2,4
United States,134413743,1,2,2,4,2,2,99
United States,202554199,2,2,2,4,1,2,2
United States,125963065,3,2,2,3,1,2,4
United States,132222236,1,4,1,2,1,2,3
United States,116098029,4,1,1,1,1,1,2
United States,210017495,2,2,2,3,2,2,2
United States,188122875,2,4,1,1,1,1,2
United States,172292178,1,3,1,1,1,1,3
United States,113069394,2,3,2,3,2,3,2
United States,192970453,3,4,2,2,2,2,2
