Region;Year;Average Index;Upper Index;Lower Index
Africa;1970;100;100;100
Africa;1971;95.4619689;104.9108031;87.7905669
Africa;1972;94.6834134;110.8678393;81.4798388
Africa;1973;99.1811736;120.8707213;81.908753
Africa;1974;99.384934;127.8777795;77.1446096
Africa;1975;96.6180782;132.4486311;69.761962
Africa;1976;92.4301969;134.8479638;61.8370488
Africa;1977;87.2671198;131.951995;56.3436072
Africa;1978;80.7315407;125.7273253;50.8606522
Africa;1979;76.9254314;125.7538959;46.266409
Africa;1980;76.9081876;132.8204823;43.8800042
Africa;1981;79.5767414;142.6150695;43.6448033
Africa;1982;76.4077794;139.8253089;41.0753522
Africa;1983;73.1503259;134.313978;39.0570959
Africa;1984;68.4761215;126.0813991;36.3387584
Africa;1985;63.7356956;117.9306984;33.6530432
Africa;1986;59.7940078;111.4486803;31.4803731
Africa;1987;57.3022634;107.7077199;30.1512145
Africa;1988;56.0417189;105.8415563;29.4651004
Africa;1989;55.1636921;104.7286026;28.9561275
Africa;1990;53.5341213;102.0471154;27.9920623
Africa;1991;52.4957607;100.4773682;27.3239148
Africa;1992;52.5530614;101.0381931;27.2474142
Africa;1993;52.8797177;102.2262265;27.2298129
Africa;1994;53.7990254;104.6411241;27.489396
Africa;1995;53.2089821;104.13283;27.0130776
Africa;1996;53.3139984;104.8317159;26.9979873
Africa;1997;52.3589476;103.3454929;26.4798546
Africa;1998;51.4812834;101.866499;26.0521658
Africa;1999;50.7354963;100.5380784;25.6536467
Africa;2000;49.8478206;99.0628086;25.1948323
Africa;2001;47.7969422;95.5173003;24.0470567
Africa;2002;45.4182948;91.4103573;22.7726001
Africa;2003;43.4670747;88.0793043;21.5846269
Africa;2004;43.0759027;88.143674;21.047456
Africa;2005;42.3475095;87.5202311;20.3524912
Africa;2006;41.7608907;87.0580871;19.8434553
Africa;2007;41.7640316;87.3575831;19.8294506
Africa;2008;42.1065122;88.0000107;19.957817
Africa;2009;42.209775;88.48471;19.9609472
Africa;2010;41.1133919;86.3889326;19.3916553
Africa;2011;39.3256355;83.0753708;18.4961851
Africa;2012;36.9574054;78.1068995;17.359079
Africa;2013;34.5145394;73.0016921;16.1848117
Africa;2014;32.4928695;68.6286358;15.2385752
Africa;2015;31.2935728;66.2561521;14.6691471
Africa;2016;32.0542215;68.0268934;14.9688821
Africa;2017;34.4458751;73.43358;15.991854
Asia and Pacific;1970;100;100;100
Asia and Pacific;1971;103.7109657;109.7304737;98.4715847
Asia and Pacific;1972;104.8386686;114.4042346;96.1006915
Asia and Pacific;1973;104.1134016;114.8096754;93.620443
Asia and Pacific;1974;104.9811427;116.5759634;93.8732991
Asia and Pacific;1975;105.9803663;118.4052305;94.3320861
Asia and Pacific;1976;106.0154597;119.127385;93.9715527
Asia and Pacific;1977;104.1612733;117.261797;92.1532313
Asia and Pacific;1978;102.561853;115.7286946;90.4999924
Asia and Pacific;1979;101.4466364;114.7537338;89.247058
Asia and Pacific;1980;100.6715203;114.1953561;88.3268142
Asia and Pacific;1981;99.0261526;112.6576649;86.6304
Asia and Pacific;1982;96.7173069;110.3665504;84.3433102
Asia and Pacific;1983;93.7090272;107.2534865;81.4814909
Asia and Pacific;1984;92.2515952;106.7065431;79.4789481
Asia and Pacific;1985;92.4585355;108.6619537;78.4923531
Asia and Pacific;1986;94.2524124;113.6544225;78.2645522
Asia and Pacific;1987;94.7575872;116.5778076;77.4200407
Asia and Pacific;1988;94.4038539;118.0132323;76.2228167
Asia and Pacific;1989;93.0612438;117.2725294;74.679108
Asia and Pacific;1990;90.0934888;114.6996813;71.5425932
Asia and Pacific;1991;86.5267314;111.541443;67.8338584
Asia and Pacific;1992;82.8573325;108.1992687;64.0907559
Asia and Pacific;1993;78.792209;104.0178858;60.28006
Asia and Pacific;1994;75.6363913;100.8917021;57.1585417
Asia and Pacific;1995;72.3442216;97.4930493;54.0732205
Asia and Pacific;1996;70.8067779;96.0636234;52.5069183
Asia and Pacific;1997;68.9327964;94.2172288;50.775835
Asia and Pacific;1998;66.6941388;91.7990418;48.7455506
Asia and Pacific;1999;64.5040725;89.5184672;46.8050059
Asia and Pacific;2000;62.2660213;86.9365061;44.9240562
Asia and Pacific;2001;61.2744996;85.8113193;43.9874959
Asia and Pacific;2002;61.505192;86.175133;43.9999318
Asia and Pacific;2003;62.2018732;87.2195324;44.3281634
Asia and Pacific;2004;63.0619512;88.8284198;44.8176257
Asia and Pacific;2005;62.8762271;89.2961017;44.5008295
Asia and Pacific;2006;62.6798659;89.8509736;44.0991295
Asia and Pacific;2007;59.9801206;86.90742;41.7373561
Asia and Pacific;2008;55.8495942;81.72202;38.40117
Asia and Pacific;2009;50.0529029;74.3028999;33.8852926
Asia and Pacific;2010;46.7976584;70.7637296;31.1540423
Asia and Pacific;2011;44.4239072;68.6120131;28.9230303
Asia and Pacific;2012;43.9966301;69.1825823;28.0506423
Asia and Pacific;2013;44.6490574;71.0942926;27.924296
Asia and Pacific;2014;45.9181376;73.7064808;28.4238921
Asia and Pacific;2015;46.883876;75.927517;28.7416192
Asia and Pacific;2016;44.7551455;73.1446444;27.2450971
Asia and Pacific;2017;44.3357649;73.0372291;26.8411588
Asia and Pacific;2018;44.6796495;74.0307893;26.983685
Europe and Central Asia;1970;100;100;100
Europe and Central Asia;1971;101.2722582;103.9584249;98.8250018
Europe and Central Asia;1972;103.2878696;108.0054132;99.0272485
Europe and Central Asia;1973;105.6278309;111.6047687;100.2073015
Europe and Central Asia;1974;107.5769485;114.5981476;101.1858144
Europe and Central Asia;1975;108.685179;116.5980066;101.3882023
Europe and Central Asia;1976;109.4471862;118.5310152;101.0193852
Europe and Central Asia;1977;110.9426994;121.2312018;101.316498
Europe and Central Asia;1978;112.8089544;124.2297595;102.208653
Europe and Central Asia;1979;113.8832152;125.9256084;102.753468
Europe and Central Asia;1980;113.8179769;126.327688;102.3677644
Europe and Central Asia;1981;113.0956011;125.8976118;101.3732967
Europe and Central Asia;1982;113.4491216;126.8461861;101.3401727
Europe and Central Asia;1983;112.0039122;126.1667367;99.2966992
Europe and Central Asia;1984;112.0508611;127.275558;98.5575496
Europe and Central Asia;1985;111.9430216;128.0199074;97.7501365
Europe and Central Asia;1986;113.9536756;130.8341584;99.1369872
Europe and Central Asia;1987;116.7714251;134.6301499;101.1730424
Europe and Central Asia;1988;121.412525;140.5840394;104.8039598
Europe and Central Asia;1989;126.9586022;147.5154891;109.2734967
Europe and Central Asia;1990;130.5446892;152.0178686;112.1429939
Europe and Central Asia;1991;130.7410732;152.5705764;112.1332247
Europe and Central Asia;1992;128.747907;150.5780109;110.2105914
Europe and Central Asia;1993;125.2536173;146.9269857;106.9500174
Europe and Central Asia;1994;121.7116178;143.1587774;103.5898096
Europe and Central Asia;1995;118.5171294;139.7615661;100.5811968
Europe and Central Asia;1996;114.8186807;135.8134563;97.1465646
Europe and Central Asia;1997;111.9247676;132.7946558;94.5032375
Europe and Central Asia;1998;109.0750407;129.8378538;91.8621212
Europe and Central Asia;1999;107.3508444;128.1865327;90.1912588
Europe and Central Asia;2000;106.4591622;127.4880733;89.2322231
Europe and Central Asia;2001;105.061322;126.3327802;87.6827807
Europe and Central Asia;2002;104.7533639;126.5074104;87.0733667
Europe and Central Asia;2003;104.1609588;126.2877376;86.1632553
Europe and Central Asia;2004;104.877104;127.4069012;86.5588879
Europe and Central Asia;2005;105.4472695;128.3443211;86.8347906
Europe and Central Asia;2006;105.8301552;129.1326362;87.0449574
Europe and Central Asia;2007;105.5778277;129.0533214;86.6466724
Europe and Central Asia;2008;104.4336198;128.3889001;85.3506894
Europe and Central Asia;2009;104.4281631;129.7232047;84.4323425
Europe and Central Asia;2010;105.5393204;132.8543708;84.3570096
Europe and Central Asia;2011;103.0181055;131.1175941;81.3841499
Europe and Central Asia;2012;98.6053092;126.8913735;77.0906855
Europe and Central Asia;2013;92.2752804;119.9745179;71.4164488
Europe and Central Asia;2014;90.6011161;119.6206554;68.8711134
Europe and Central Asia;2015;88.4297436;118.1770235;66.1678605
Europe and Central Asia;2016;86.1145006;116.7181736;63.3799561
Europe and Central Asia;2017;83.4874868;113.7750946;61.1813471
Europe and Central Asia;2018;82.2915342;112.5579258;60.2690734
Freshwater;1970;100;100;100
Freshwater;1971;98.293719;102.4784386;94.5666478
Freshwater;1972;97.1892653;103.8793042;91.1696611
Freshwater;1973;96.9687796;104.8540663;89.8240837
