Country,Year,Below $1 a day (Number),Below $2.15 a day  (Number),Below $3.65 a day (Number),Below $6.85 a day (Number),Below $10 a day (Number),Below $20 a day (Number),Below $30 a day (Number),Below $40 a day (Number),Below $1 a day (%Share),Below $2.15 a day (%Share),Below $3.65 a day (%Share),Below $6.85 a day (%Share),Below $10 a day (%Share),Below $20 a day (%Share),Below $30 a day (%Share),Below $40 a day (%Share)
Albania,1996,1819,16944,281906,1516827,2395790,3126915,3164783,3166501,0.06,0.53,8.90,47.88,75.62,98.70,99.90,99.95
Albania,2002,1415,33337,347459,1589301,2340279,2945105,3018917,3043749,0.05,1.09,11.39,52.09,76.71,96.53,98.95,99.76
Albania,2005,0,17800,219516,1217497,2061456,2873129,2977077,2997843,0.00,0.59,7.29,40.43,68.45,95.41,98.86,99.55
Albania,2008,0,5892,115022,985342,1849996,2787653,2903376,2927993,0.00,0.20,3.90,33.43,62.77,94.58,98.51,99.34
Albania,2012,699,18003,139377,1063512,1887070,2770468,2873530,2892932,0.02,0.62,4.81,36.67,65.06,95.52,99.07,99.74
Albania,2014,0,29558,279549,1119349,1761723,2645987,2834179,2874814,0.00,1.02,9.68,38.74,60.98,91.59,98.10,99.51
Albania,2015,0,3475,106557,753428,1458177,2500865,2772099,2847716,0.00,0.12,3.70,26.15,50.62,86.81,96.23,98.85
Albania,2016,0,4006,134217,730927,1388484,2444326,2752278,2833095,0.00,0.14,4.67,25.41,48.28,84.99,95.69,98.50
Albania,2017,0,11280,104211,733910,1398525,2447542,2759480,2840950,0.00,0.39,3.63,25.54,48.67,85.18,96.03,98.87
Albania,2018,0,1379,78263,520561,1128553,2402021,2759656,2837748,0.00,0.05,2.73,18.16,39.37,83.80,96.28,99.00
Albania,2019,0,0,22774,312161,876631,2187858,2637916,2780704,0.00,0.00,0.80,10.94,30.71,76.65,92.42,97.43
Algeria,1988,0,1569347,6158153,15557583,20278624,23625143,24130292,24286585,0.00,6.42,25.19,63.65,82.96,96.65,98.72,99.36
Algeria,1995,67807,1659487,6973279,17571992,23336448,27828892,28549708,28757500,0.24,5.77,24.25,61.10,81.15,96.77,99.28,100.00
Algeria,2011,32750,166981,1473499,13408903,24917004,35125069,36283006,36593560,0.09,0.46,4.02,36.57,67.97,95.81,98.97,99.81
Angola,2000,1288252,3510083,6482583,11019698,13291759,15475132,15978536,16113701,7.86,21.41,39.54,67.21,81.07,94.39,97.46,98.28
Angola,2008,430027,3174611,8171941,14983762,18087319,20951844,21411996,21570802,1.98,14.63,37.67,69.06,83.37,96.57,98.69,99.42
Angola,2018,2713685,9588624,16299094,24023840,27328640,30062235,30458468,30636343,8.81,31.12,52.90,77.97,88.70,97.57,98.86,99.44
Argentina - urban,1980,29121,71452,229485,1277865,2999296,8960247,13938313,17263176,0.13,0.31,0.99,5.53,12.97,38.75,60.28,74.66
Argentina - urban,1986,289128,293557,479427,1251231,2688835,9549145,15379702,19132599,1.10,1.12,1.83,4.77,10.25,36.40,58.63,72.94
Argentina - urban,1987,210948,317511,560465,2040435,4173657,11653951,17054563,20572372,0.79,1.19,2.09,7.62,15.59,43.53,63.71,76.85
